; specify pairs of colour name and colour values (opacity, red, green, blue)


;;;;;;;;;;;;;;;;;;;;;;
; LOADING COMPONENTS ;
;;;;;;;;;;;;;;;;;;;;;;

loading_text               255, 255, 244, 169
loading_text_shadow        255, 0, 0, 0


;;;;;;;;;;;;;;;;;;;
; MENU COMPONENTS ;
;;;;;;;;;;;;;;;;;;;

menu_general_text_shadow   225, 0, 0, 0              ; used for menu_text and miscellaneous menu text items

menu_text                  255, 216, 168, 119
;menu_text                  255, 255, 244, 169
menu_text_highlighted      255, 252, 238, 214        ; the blue component cannot equal 255 or it defaults to menu_text colour
menu_text_disabled         255, 135, 135, 135        ; the blue component cannot equal 255 or it defaults to menu_text colour

menu_tooltip               255, 188, 188, 188
menu_tooltip_shadow        255, 0, 0, 0

menu_win_conditions        255, 188, 188, 188
menu_win_conditions_shadow 255, 0, 0, 0

menu_textlist              255, 188, 188, 188
menu_textlist_shadow       255, 0, 0, 0

menu_dialog                255, 243, 209, 149
menu_dialog_shadow         255, 0, 0, 0

menu_string_pair           255, 188, 188, 188
menu_string_pair_alternate 255, 188, 188, 188

menu_static_text           255, 243, 209, 149
menu_static_text_shadow    255, 0, 0, 0

menu_version_number        255, 188, 188, 188
menu_army_faction_name     255, 254, 254, 254
menu_custom_player_name    255, 188, 188, 188
menu_world_name            255, 188, 188, 188
menu_army_player_name      255, 188, 188, 188
menu_faction_name          255, 254, 254, 254
menu_leader_name           255, 188, 188, 188
menu_capital_name          255, 188, 188, 188
menu_counter               255, 188, 188, 188

menu_lan_list              255, 188, 188, 188
menu_lan_list_shadow       255, 0, 0, 0

menu_chat_text             255, 188, 188, 188
menu_category_indicator    255, 188, 188, 188
menu_keyset_indicator      255, 188, 188, 188


;;;;;;;;;;;;;;;;;;;;
; STRAT COMPONENTS ;
;;;;;;;;;;;;;;;;;;;;

trade_header_text		255, 0, 0, 0		; text colour for trade details scroll list header NO
trade_sett_text			255, 0, 0, 0		; text colour for trade details scroll settlement name NO
trade_totals_value		255, 128, 119, 97	; text colour for trade totals values NO

free_upkeep_card_colour     255, 200, 200, 255		; colour for units in garrison that do not require upkeep costs
crusade_card_colour         255, 255, 255, 200		; colour for units on crusade/jihad
crusade_abandon_card_colour 255, 200, 200, 200		; colour for units abandoned crusade/jihad

unpurchased_construction_option  128, 150, 0, 0		; colour for percentage level of unpurchased items in construction options NO
unpurchased_construction_level   128, 150, 0, 0		; colour for percentage level of unpurchased items in construction queue NO
purchased_construction_level     128, 0, 150, 0		; colour for percentage level of purchased items in construction queue NO
unprocessed_construction_level   128, 60, 60, 60	; colour for percentage level of unprocessed items in construction queue NO

unpurchased_recruitment_level   128, 150, 0, 0		; colour for percentage level of unpurchased items in recruitment queue NO
purchased_recruitment_level     128, 0, 150, 0		; colour for percentage level of purchased items in recruitment queue NO
unprocessed_recruitment_level   128, 60, 60, 60		; colour for percentage level of unprocessed items in recruitment queue NO
recruitment_slot		128, 255, 255, 255	; colour for available recruitment slots in recruitment queue NO

unpurchased_queue_button  	255, 150, 0, 0		; strat button colour for percentage level of unpurchased items in construction/recruitment queue NO
